--------------------------------------------------------------------------------------------------------
|                                     DescribeLaunchConfigurations                                     |
+-------------------------------------------------------------+------------------------+---------------+
|  ma-admin-hk-stage-config-20240215090119224                 |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-20240307072259105                 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-20240328073128812                 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-admin-hk-stage-config-20240412                          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20230718071812119               |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20231127114814514               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20231127153815769               |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20240102072734497               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20240123070944484               |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20240213071304701               |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20240305072809533               |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20240326                        |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-portal-hk-latest-config-20240406                        |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-portal-hk-prod-config-20240403080549833                 |  ami-0d4b18ebb8e22b004 |  m5.xlarge    |
|  ma-portal-hk-stage-config-2023072007100365                 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20231129072541594                |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20231129115050755                |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20240104072339583                |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20240125071319504                |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20240215091344591                |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20240307072549345                |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20240328073134552                |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  ma-portal-hk-stage-config-20240412                         |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20230718071441419             |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-2023112712094468              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20231127151612755             |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-2024010207241935              |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20240123071949143             |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20240213072514217             |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20240305072559202             |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20240326073413995             |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20240403                      |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  oc-campaign-hk-latest-config-20240406                      |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  oc-campaign-hk-prod-config-20240403080609513               |  ami-0d4b18ebb8e22b004 |  m5.xlarge    |
|  oc-campaign-hk-stage-config-20230720071536663              |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-20231129073506136              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-20231129114013676              |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-2024010407074491               |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-20240125071744244              |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-20240215090124128              |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-2024030707365999               |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-20240328073708891              |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  oc-campaign-hk-stage-config-20240412                       |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  profile-svc-hk-latest-config-20230627070851357             |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  profile-svc-hk-latest-config-20231127115458803             |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  profile-svc-hk-latest-config-20240102073838760             |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  profile-svc-hk-latest-config-20240123105543961             |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  profile-svc-hk-latest-config-20240411                      |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  profile-svc-hk-prod-config-20240403080904314               |  ami-0d4b18ebb8e22b004 |  m3.large     |
|  profile-svc-hk-stage-config-20240328073718883              |  ami-0d4b18ebb8e22b004 |  t2.medium    |
|  profile-ui-hk-latest-config-202307180734585                |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  profile-ui-hk-latest-config-20231127114715268              |  ami-09d158341d5031717 |  m6i.4xlarge  |
